click_number,timestamp,relative_time_ms,delay_ms,hold_ms,button,click_type
274,1786146463.650086,50160.012,174.016,62.079,left,single-click
275,1786146463.798151,50308.077,148.066,223.128,left,single-click
276,1786146464.119248,50629.174,321.096,81.235,left,single-click
277,1786146464.308131,50818.057,188.883,83.06,left,single-click
278,1786146464.614106,51124.032,305.974,88.226,left,single-click
279,1786146464.824139,51334.064,210.033,73.998,left,single-click
280,1786146465.023099,51533.025,198.96,46.012,left,single-click
281,1786146465.230093,51740.019,206.995,88.264,left,single-click
282,1786146465.387195,51897.12,157.101,187.179,left,single-click
283,1786146465.644262,52154.188,257.067,113.163,left,single-click
284,1786146465.860275,52370.201,216.013,76.972,left,single-click
285,1786146466.049354,52559.28,189.079,37.787,left,single-click
286,1786146466.168244,52678.17,118.89,37.204,left,single-click
287,1786146466.39827,52908.196,230.026,69.015,left,single-click
288,1786146466.589262,53099.188,190.992,49.194,left,single-click
289,1786146466.773177,53283.103,183.915,87.481,left,single-click
290,1786146466.945349,53455.274,172.171,85.062,left,single-click
291,1786146467.119301,53629.227,173.952,99.051,left,single-click
292,1786146467.325257,53835.182,205.956,43.98,left,single-click
293,1786146467.868475,54378.401,543.218,60.847,left,single-click
294,1786146468.052432,54562.358,183.957,82.978,left,single-click
295,1786146468.222335,54732.261,169.903,78.446,left,single-click
296,1786146468.394281,54904.207,171.946,78.071,left,single-click
297,1786146468.565755,55075.68,171.474,110.569,left,single-click
298,1786146468.736299,55246.224,170.544,72.115,left,single-click
299,1786146468.920305,55430.231,184.006,89.121,left,single-click
300,1786146469.097306,55607.231,177.001,217.044,left,single-click
301,1786146469.445302,55955.227,347.996,69.121,left,single-click
302,1786146469.607427,56117.353,162.125,109.927,left,single-click
303,1786146469.796415,56306.341,188.988,230.265,left,single-click
304,1786146470.123376,56633.302,326.961,88.998,left,single-click
305,1786146470.314409,56824.335,191.033,97.077,left,single-click
306,1786146470.506359,57016.284,191.949,259.043,left,single-click
307,1786146470.866355,57376.281,359.996,230.196,left,single-click
308,1786146471.19435,57704.276,327.995,87.037,left,single-click
309,1786146471.392415,57902.341,198.065,75.124,left,single-click
310,1786146471.565357,58075.283,172.942,93.128,left,single-click
311,1786146471.75034,58260.266,184.983,101.271,left,single-click
312,1786146471.928447,58438.372,178.107,87.016,left,single-click
313,1786146472.109366,58619.292,180.92,80.053,left,single-click
314,1786146472.252549,58762.475,143.183,76.857,left,single-click
315,1786146472.430402,58940.328,177.854,68.093,left,single-click
316,1786146472.592408,59102.334,162.006,66.108,left,single-click
317,1786146472.758421,59268.347,166.013,56.333,left,single-click
318,1786146472.9174,59427.326,158.979,91.007,left,single-click
319,1786146473.070887,59580.812,153.486,98.644,left,single-click
320,1786146473.250516,59760.442,179.629,110.038,left,single-click
321,1786146473.43859,59948.516,188.074,68.975,left,single-click
